,index,prob_fraud
0,85953,0.22420502
1,223970,0.23297119
2,270786,0.05871582
3,20082,0.23394775
4,27885,4.7762833
5,30150,0.7021713
6,45878,9.342285
7,62720,15.011124
8,97401,0.123664856
9,159112,94.24086
10,103800,0.51706696
11,70490,0.08295441
12,42769,99.96842
13,193259,0.14055634
14,149724,0.12371063
15,230186,0.58265686
16,123242,13.009819
17,26940,1.3216324
18,272695,0.07888031
19,152388,0.35230255
20,88804,0.4374237
21,229639,0.19450378
22,94238,0.77230835
23,186603,0.09024811
24,272252,0.045562744
25,49033,0.93201447
26,278416,2.8173141
27,241370,0.060546875
28,243387,16.088776
29,108551,0.5838623
30,63360,0.041404724
31,207351,0.028785706
32,241944,1.1653595
33,91275,3.741768
34,191930,15.252884
35,194255,0.29364014
36,108730,0.15266418
37,38297,0.13136292
38,183850,0.28599548
39,281879,0.029380798
40,114406,0.723999
41,135391,0.01209259
42,20686,0.7065582
43,119328,5.3468246
44,66362,6.580147
45,218534,0.6679611
46,104235,0.13858032
47,74966,0.06681061
48,134719,0.4778595
49,139649,1.5813217
50,174626,0.023010254
51,179141,0.6470108
52,106739,0.172966
53,80349,0.108314514
54,105475,0.44262695
55,149342,0.16518402
56,228665,6.358391
57,272777,0.019966125
58,64479,12.008324
59,261834,0.034858704
60,151197,1.6681442
61,140566,0.89120483
62,271370,0.0129470825
63,82949,0.11818695
64,280091,0.014595032
65,283462,2.8499222
66,148573,0.08799744
67,165495,0.02619934
68,55819,0.19915771
69,122262,0.37156677
70,105319,0.1072464
71,18579,4.1508636
72,31531,14.648987
73,282565,0.124801636
74,260287,0.18733215
75,235207,0.0746994
76,210261,1.7598724
77,91013,1.4625168
78,164578,13.578453
79,226724,0.010368347
80,212315,0.1759491
81,186491,0.14728546
82,10574,2.9836273
83,152001,0.17106628
84,5311,9.818138
85,95747,0.07847595
86,106919,13.783577
87,41989,0.105903625
88,271806,18.46611
89,276299,1.8976364
90,228631,0.37128448
91,37775,0.46829224
92,283444,0.037399292
93,56726,0.023910522
94,205901,0.25554657
95,22697,0.03942108
96,225599,0.26107788
97,261731,28.761742
98,188522,2.8570404
99,557,0.16310883
100,224534,0.44410706
101,224539,0.08859253
102,29348,0.10424805
103,171946,0.4880829
104,280038,0.060585022
105,120931,0.043014526
106,260814,1.120285
107,87989,1.0102539
108,160606,3.170189
109,114435,2.7315445
110,148157,0.018089294
111,280078,0.07887268
112,61612,0.057746887
113,64545,0.1591034
114,1683,1.4398575
115,11846,26.596
116,24497,0.09347534
117,5714,0.23710632
118,59108,0.15625
119,6956,0.21324158
120,202673,0.08148193
121,189624,1.5247955
122,256279,1.7462845
123,196894,0.60643005
124,216201,0.10613251
125,223551,0.04273224
126,27339,5.484207
127,181490,0.08880615
128,30463,0.24088287
129,180426,0.44439697
130,13866,0.26644135
131,162546,0.5158386
132,60931,0.09907532
133,91774,34.15017
134,221349,0.9163513
135,67882,0.472435
136,207327,0.24260712
137,241671,0.7396774
138,103450,0.05050659
139,211732,0.4265213
140,38765,0.29812622
141,170714,0.032341003
142,153634,64.71051
143,67807,0.061294556
144,204670,0.01952362
145,198648,1.4736023
146,56033,0.48882294
147,216417,0.08405304
148,240120,2.9297028
149,155519,4.385597
150,115143,0.01599884
151,46517,0.9541702
152,32530,0.2027893
153,203784,57.782673
154,31646,0.8907318
155,279708,0.09272766
156,132968,2.0074387
157,128376,6.848465
158,66654,0.22032928
159,188581,0.05923462
160,203380,0.12806702
161,52503,0.33205414
162,34326,21.84671
163,60606,0.0891037
164,137472,0.3416443
165,70920,0.036643982
166,178449,0.24156189
167,94737,1.3952637
168,211915,0.19838715
169,245970,0.0716629
170,146197,4.21669
171,198486,19.477638
172,131668,0.3073349
173,226180,0.07375336
174,40487,8.093193
175,88543,0.018089294
176,65957,21.711517
177,7100,0.99061584
178,179572,0.124549866
179,125823,0.69400024
180,136562,0.21109772
181,259088,1.89785
182,270749,0.099983215
183,141278,0.07474518
184,234936,0.1909256
185,238735,1.8413315
186,213478,1.0415955
187,64245,3.339447
188,273228,0.04862213
189,87983,0.14802551
190,148298,0.27700043
191,23064,0.1469574
192,229051,0.70079803
193,1049,18.778526
194,50218,3.9377136
195,63670,0.8345871
196,237408,0.15322113
197,242217,0.13391113
198,212179,0.038894653
199,278453,0.9665146
200,53043,0.15341187
201,284372,0.39426422
202,1600,0.4094162
203,207075,0.20444489
204,193143,0.027236938
205,57039,0.07596588
206,235417,0.43271637
207,212588,36.977993
208,197318,0.16775513
209,6104,1.2502289
210,201821,0.025016785
211,229868,0.016036987
212,137833,5.892235
213,125551,0.027000427
214,51941,0.5237427
215,238147,0.023773193
216,22109,5.0578003
